,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p115 solar existing,p115,Solar,103.6,103.6,137718.032,,137718.032,0.0,0.152,2.506,965315.792,1321.24,4626576.87,33.595
Generator,p116 hydro,p116,Reservoir & Dam,519.375,519.375,989541.886,,989541.886,0.0,0.217,7.33,93133879.745,10786.505,44138200.109,44.605
Generator,p116 hydrogen_ct_2050,p116,Hydrogen Combustion Turbine,1144.423,,521222.749,,521222.749,0.0,0.052,9503922.266,109820684.53,104917279.525,214737883.614,411.989
Generator,p116 nuclear_2050,p116,Nuclear,1528.444,,10418865.562,,10418865.562,0.0,0.778,2501252.887,523191088.221,118459560.104,641650569.971,61.585
Generator,p116 onwind,p116,Onshore Wind,0.002,,1.87,,1.87,0.0,0.121,0.613,178.62,-24.147,58.116,31.571
Generator,p116 onwind existing,p116,Onshore Wind,0.0,0.0,,,,0.0,,1216280.207,0.0,,,
Generator,p116 solar,p116,Solar,4499.714,,6276277.19,,6276277.19,0.0,0.159,4.889,197862713.855,56646.384,203078142.709,32.356
Generator,p116 solar existing,p116,Solar,200.8,200.8,280074.638,,280074.638,0.0,0.159,4.825,1870998.176,2701.585,9062343.674,32.357
Generator,p117 biomass,p117,Biomass,0.0,0.0,,,,0.0,,28032.0,0.0,,,
Generator,p117 hydro,p117,Reservoir & Dam,480.664,480.664,915783.531,,915783.531,0.0,0.217,10.494,86192226.849,10050.452,40848533.006,44.605
Generator,p117 hydrogen_ct_2050,p117,Hydrogen Combustion Turbine,96.717,,46168.777,,46168.777,0.0,0.054,801072.767,9281127.222,9293306.068,18574347.642,402.314
Generator,p117 nuclear_2050,p117,Nuclear,1581.412,,11132915.519,,11132915.519,0.0,0.804,2234954.711,541322480.892,126579781.876,667902183.901,59.993
Generator,p117 onwind,p117,Onshore Wind,0.002,,1.422,,1.422,0.0,0.095,0.562,172.565,-18.365,56.375,40.25
Generator,p117 solar,p117,Solar,1135.407,,1567931.51,,1567931.51,0.0,0.158,8.208,49876698.911,16168.269,50701526.786,32.337
Generator,p118 biomass,p118,Biomass,0.0,0.0,,,,0.0,,108602.1,0.0,,,
Generator,p118 hydro,p118,Reservoir & Dam,409.08,409.08,779397.874,,779397.874,0.0,0.217,10.164,73355921.298,7415.734,34802720.31,44.653
Generator,p118 hydrogen_ct_2050,p118,Hydrogen Combustion Turbine,0.04,,22.594,,22.594,0.0,0.065,323.839,3795.006,4547.871,8236.132,364.419
Generator,p118 nuclear_2050,p118,Nuclear,2254.524,,15461352.643,,15461352.643,0.0,0.783,3596406.936,771730538.868,175766900.151,947497365.705,61.282
Generator,p118 onwind,p118,Onshore Wind,0.002,,1.011,,1.011,0.0,0.075,0.474,165.112,-13.051,39.522,37.583
Generator,p118 solar,p118,Solar,5341.908,,7921172.483,,7921172.483,0.0,0.169,8.238,222670922.146,83382.517,241067502.979,30.433
Generator,p118 solar existing,p118,Solar,250.7,250.7,371739.359,,371739.359,0.0,0.169,7.947,2335952.404,3541.643,11313459.035,30.434
Generator,p119 biomass,p119,Biomass,0.0,0.0,,,,0.0,,429047.28,0.0,,,
Generator,p119 hydrogen_ct_2050,p119,Hydrogen Combustion Turbine,106.749,,31953.512,,31953.512,0.0,0.034,903170.215,10243834.644,6431939.518,16675688.951,521.874
Generator,p119 nuclear_2050,p119,Nuclear,352.291,,2607760.733,,2607760.733,0.0,0.845,370194.765,120590208.48,29647082.881,150237213.31,57.612
Generator,p119 onwind,p119,Onshore Wind,0.003,,4.639,,4.639,0.0,0.158,1.047,348.964,-59.895,174.108,37.509
Generator,p119 onwind existing,p119,Onshore Wind,0.0,0.0,,,,0.0,,301109.125,0.0,,,
Generator,p119 solar,p119,Solar,290.972,,369639.42,,369639.42,0.0,0.145,2.511,12319070.537,3646.3,13129359.421,35.519
Generator,p119 solar existing,p119,Solar,36.5,36.5,46365.991,,46365.991,0.0,0.145,2.481,340096.78,434.439,1646940.668,35.52
Generator,p12 biomass,p12,Biomass,0.0,0.0,,,,0.0,,28032.0,0.0,,,
Generator,p12 geothermal,p12,Geothermal,927.8,927.8,6445096.508,,6445096.508,0.0,0.793,220026.115,361435696.306,19210821.595,305932905.59,47.468
Generator,p12 hydrogen_ct_2050,p12,Hydrogen Combustion Turbine,414.912,,171748.159,,171748.159,0.0,0.047,3462880.269,39815621.755,34571308.08,74386847.825,433.116
Generator,p12 nuclear_2050,p12,Nuclear,1014.922,,5560464.409,,5560464.409,0.0,0.625,3018795.496,347411081.675,63216121.316,410627120.719,73.848
Generator,p12 onwind,p12,Onshore Wind,0.001,,0.266,,0.266,0.0,0.053,0.083,60.387,-3.435,9.635,36.667
Generator,p12 onwind existing,p12,Onshore Wind,0.0,0.0,,,,0.0,,88939.08,0.0,,,
Generator,p12 solar,p12,Solar,12.093,,22710.821,,22710.821,0.0,0.214,59.359,535689.794,224.801,535858.33,23.595
Generator,p12 solar existing,p12,Solar,1419.4,1419.4,2672635.715,,2672635.715,0.0,0.215,87.249,13225571.768,26414.714,62901853.105,23.536
Generator,p120 biomass,p120,Biomass,0.0,0.0,,,,0.0,,182208.0,0.0,,,
Generator,p120 hydrogen_ct_2050,p120,Hydrogen Combustion Turbine,198.538,,71696.204,,71696.204,0.0,0.041,1667498.961,19052053.94,14431724.684,33483690.597,467.022
Generator,p120 nuclear_2050,p120,Nuclear,49.229,,348782.723,,348782.723,0.0,0.809,67352.486,16851101.906,3965562.519,20816556.44,59.683
Generator,p120 onwind,p120,Onshore Wind,0.001,,0.999,,0.999,0.0,0.085,0.391,133.897,-12.901,38.718,40.182
Generator,p120 solar,p120,Solar,998.854,,1377903.601,,1377903.601,0.0,0.157,97.911,42289123.033,13772.066,44875687.109,32.568
Generator,p120 solar existing,p120,Solar,408.6,408.6,563307.832,,563307.832,0.0,0.157,389.537,3807220.392,6048.027,18357219.633,32.588
Generator,p121 hydro,p121,Reservoir & Dam,41.432,41.432,78933.36,,78933.36,0.0,0.217,6.675,7429637.221,754.678,3539117.077,44.837
Generator,p121 hydrogen_ct_2050,p121,Hydrogen Combustion Turbine,205.038,,70300.904,,70300.904,0.0,0.039,1725835.283,19675815.689,14150899.095,33826630.823,481.169
Generator,p121 nuclear_2050,p121,Nuclear,0.069,,479.654,,479.654,0.0,0.793,103.805,23626.778,5452.962,28897.682,60.241
